"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"gfkk","dekk","cekk","hejk","fgkk","hcjk","ecjk","eckk","hgjk","dcjk","dckk",NA,NA,NA,NA
"gfkk","ffkj","hgkk","bekk","cekk","ifkj","hckk","eckj","dckk",NA,NA,NA,NA,NA,NA
"gfkk","icjk","eckj","hfkk","cgkk","dckj","dckk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","fejk","hfkk","igkk","gfjk","fckk","eckk","dckk",NA,NA,NA,NA,NA,NA,NA
"gfkk","dekk","fekk","hekk","igkk","ffjk","dckk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","fdkj","gekk","fekj","dekk","ffkk","dckk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","bekk","ffkj","gckk","hckj","ecjk","cckj","fgkj","dckk",NA,NA,NA,NA,NA,NA
"gfkk","dekj","cekk","hekk","ifkj","ggkk","efjk","dckk",NA,NA,NA,NA,NA,NA,NA
"gfkk","hekj","cekk","bfkk","gekk","hekk","iekk","ifkk","jfkk","dckk",NA,NA,NA,NA,NA
"gfkk","cejk","fekk","hgkk","cckk","hckk","dckk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","gejk","hfkk","iejk","cgkk","gfjk","igkk","egkj","dckk",NA,NA,NA,NA,NA,NA
"gfkk","cfkj","efkj","cgkj","dgkk","igjk","dckk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","ifjk","dckk","hgkk","gckk","hckj","ecjk","ccjk",NA,NA,NA,NA,NA,NA,NA
"gfkk","hfkj","cekk","hejk","iekk","gdkk","hfkk","ccjk",NA,NA,NA,NA,NA,NA,NA
"gfkk","bfkk","ffkj","hfkk","fcjk","eckk","ccjk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","hekk","hfkj","gckj","ickk","eckj","fckk","dckj","ccjk",NA,NA,NA,NA,NA,NA
"gfkk","gekk","fekj","dekk","fekk","iekk","ifkk","dckk","ccjk",NA,NA,NA,NA,NA,NA
"gfkk","cfjk","gfjk","dfkj","dfjk","dgkj","gfkj","gckk","dcjk","ccjk",NA,NA,NA,NA,NA
"gfkk","egkk","ifkj","cfkk","ggkj","ickk","eckk","ccjk",NA,NA,NA,NA,NA,NA,NA
