"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17"
"gckk","efkj","dekk","iekk","cfjk","ffjk","gekk","igkk","eckk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cfkj","eckj","efjj","dbjj","ebjj","cckj","fgjk","cgkj","gfkj","dfkk","ickk","fcjk","eckk",NA,NA,NA
"gckk","bgjk","eekk","fgjk","egkk","fgkj","efkj","fckj","dckj","eckk",NA,NA,NA,NA,NA,NA,NA
"gckk","icjk","dckk","hfkj","iekk","ggjk","bfkk","ggkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ccjk","hfkj","iejk","cgjk","ggkj","bekk","ggkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ecjk","gckj","ccjk","fgkk","hfkj","fekj","dekk","ggkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","hckk","fcjk","gfjk","cfkj","cekk","hekk","ifkj","ggkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ifkk","hckk","ccjk","hgkj","iekk","cejk","cekk","dekk","ggkk",NA,NA,NA,NA,NA,NA,NA
"gckk","cdkj","gckj","ecjk","cfkk","hekk","bekk","ggkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","jcjk","gcjk","ickj","dfkk","bcjk","fgkj","ggkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","egkk","eejk","fgkk","ifkj","gcjk","dckj","hfjk","ggkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","hckj","dckj","dbjj","ebjj","cckj","fgjk","cgkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cdkj","edkk","cdjk","hckk","ffkj","cejk","cfjk","cgkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cfjk","cekk","iekk","cgjk","cgkj","hgkj","ifkj","hgjk","igkj","cgkk",NA,NA,NA,NA,NA,NA
"gckk","cdkj","fckj","eckj","cckk","efjk","dgkj","bckk","efkk","cgjk","egkj","cgkk",NA,NA,NA,NA,NA
"gckk","jckk","gfjk","hfkj","dgjk","fgkj","bfjk","cgkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gdkk","hdjk","hckj","dgkk","ffkj","bekk","cgkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cckj","eckj","efjj","dbjj","ffkj","fekk","cgkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","jcjk","gcjk","ickj","cckj","hfkk","ifkj","cgkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","icjk","cckk","gfjk","gekk","hfkj","hfjk","cgkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ecjk","cckj","ggjk","gfkk","ifkj","gfkj","hgjk","fgkj","efkj","cgkk",NA,NA,NA,NA,NA,NA
"gckk","dfkj","gfjk","hfkj","fekj","cejk","cfjk","eejk","dgkj","dckk",NA,NA,NA,NA,NA,NA,NA
"gckk","fdkj","dbjj","ffkj","bekk","cgjk","egkj","fckj","hgkj","dckk",NA,NA,NA,NA,NA,NA,NA
"gckk","jfkk","dcjk","hckj","dfkk","cekk","iekk","ggjk","cdkk","dckk",NA,NA,NA,NA,NA,NA,NA
"gckk","bfkk","fekk","fgjk","hfjk","hekk","ifkj","gfkj","fekj","dckk",NA,NA,NA,NA,NA,NA,NA
"gckk","egjk","ffkk","igjk","gckj","ecjk","ddkk","dckk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gdkk","hdjk","hckj","dgkk","ffkj","ggkj","ddkk","dckk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","jckk","gfjk","cfkj","iekk","cejk","hfkk","dckk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bfkk","eejk","fgkk","ifkj","dcjk","igkk","dckk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cfjk","ffjk","gfjk","bfkk","dgkj","bckk","egkk","hckj","ccjk","dckk",NA,NA,NA,NA,NA,NA
"gckk","cgjk","cfkj","eckj","icjk","hckk","fcjk","dckk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ifkk","hfkj","iekk","cfjk","efkk","cdjk","dckk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","jcjk","gcjk","ickj","cckj","eckj","ddkj","dckk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","igjk","gfkk","egkj","cfjk","gfkj","ecjk","dckk","ickk","efjk","cdkk",NA,NA,NA,NA,NA,NA
"gckk","ifkk","ecjk","hfjk","hekk","hfkj","fekk","ffjk","eekk","dgkj","hcjk","cdjk","edkk","cdkk",NA,NA,NA
"gckk","cfkj","iekk","cejk","hfkk","cckk","efjk","fckj",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","dgkk","ffkj","fekk","dekk","dejk","cgjk","dckj","fckj",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","hfjk","hekk","ifkj","hgjk","igkj","eckk","cckj","fckj",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","hgkj","ifkj","dcjk","dgkk","bckk","efkk","fckj",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","dgjk","gfkk","hekk","cekk","cfjk","dckk","ccjk","fckj",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","hcjk","cfkj","cekk","hekk","hgkk","ddkk","fckj",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","egjk","efkj","bekk","gekk","ifkj","dcjk","ccjk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cdkj","edkk","cdjk","hckk","hcjk","cfkj","iekk","cgjk","cgkj","gekk","ggkj",NA,NA,NA,NA,NA
"gckk","cckj","eckj","gckj","ifkk","dcjk","ickk","ggkj",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","eckj","gfkk","bekk","cfjk","gfkj","cejk","ggkj",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gcjk","gfkj","fekj","dekk","dejk","cgjk","fgkk","ggkj",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","hcjk","igkk","hgkk","gejk","bekk","cgjk","egkj","dgkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ggjk","gfkk","hekk","ifkj","hgjk","igkj","dgkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gcjk","ickj","dfkk","bcjk","fgkj","efkj","dekk","iekk","dgkk",NA,NA,NA,NA,NA,NA,NA
"gckk","dckj","dbjj","ffkj","bekk","ggkk","gekj","dgkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","egkk","cfkj","eckj","dckj","hfjk","hfkk","ifkj","dgkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","icjk","hgkk","ifkj","ifjk","cfkk","efkj","eekk","dgkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gfjk","hfkj","fekk","cfjk","dckk","dfjk","hgkj","dgkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ecjk","gckj","dfkk","dfjk","hfkj","hfjk","fckj","dgkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","jcjk","gcjk","gfjk","cfkj","cfjk","ffjk","eekk","dfkj","cgkj","hgkj","ifkj","dfjk","bckk","egkk","bfkj","dgkk"
"gckk","dfkj","gfjk","cdkk","ffkj","egkk","fgjk","fckk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","icjk","dckk","eckk","cckj","fgjk","egkj","fckk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","jfkk","dcjk","hckj","dfkk","egkk","eekk","fckk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","dcjk","eckk","ccjk","hfkj","gfkj","cejk","fckk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gcjk","ickj","dgjk","fgkj","ggjk","gekk","cfkj","cekk","cekj","fckk",NA,NA,NA,NA,NA,NA
"gckk","fdkj","ebjj","cckj","eckj","cfkj","iekk","cejk","cekk","fckk",NA,NA,NA,NA,NA,NA,NA
"gckk","bgjk","efkk","bfkk","eejk","dgkj","gfkj","hgjk","fckk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cgjk","cfkj","eckj","efjj","dbjj","ffkj","fekk","ffjk","gfjk","hfkj","fckk",NA,NA,NA,NA,NA
"gckk","bgkk","cekk","iekk","cgjk","cgkj","gcjk","fckk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","hfkk","fekj","cejk","cfjk","efkk","eekk","fckk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","jfkk","hfjk","hekk","ifkj","hgjk","dgjk","fckk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","egkk","eejk","fgkk","ifkj","dcjk","dckj","eckj","fckk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ifkj","hgjk","gfkj","cekk","hekk","bfkk","eekk","cfkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gdjk","hdkk","hcjk","dgkk","hgkj","fekj","cfkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gdkk","hdjk","hckj","dgkk","igkk","dfjk","cfkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cdkj","dcjk","hckj","fcjk","gfkk","hekk","cfkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","dckj","hfjk","gfkk","bekk","cfjk","eejk","cfkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","dgjk","fgkj","cfjk","ffjk","gekk","hgkj","cfkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ecjk","dckj","cgjk","cgkj","gfkk","gejk","cfkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","icjk","dgkk","bcjk","fgkj","bfjk","cgkj","hgkj","fekk","dekj","cfkk",NA,NA,NA,NA,NA,NA
"gckk","eckj","fckj","ecjk","cdkk","ffkj","bfkk","hgjk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","jfkk","dcjk","hckj","fcjk","gfjk","cfkj","cekk","hgjk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cckj","eckj","cfkj","cfjk","ffjk","dfkk","bcjk","fgkj","hgjk",NA,NA,NA,NA,NA,NA,NA
"gckk","igkj","hfjk","cfkk","fekk","bekk","gekk","hgkj","hgjk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cfjk","cekk","iekk","cgjk","egkj","fckj","hgkj","fekj","hgjk",NA,NA,NA,NA,NA,NA,NA
"gckk","cgkj","bekk","cgjk","dckj","ifkk","gfjk","bfkk","hgjk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bfjk","gfkj","fekj","dekk","dejk","cgjk","dgkk","hcjk","fckj","edkj","hgjk",NA,NA,NA,NA,NA
"gckk","gfjk","ifkj","hekk","bekk","cgjk","dckj","dbjj","ffkj","fekk","fgjk","eekk","efkk",NA,NA,NA,NA
"gckk","ccjk","igkj","gckj","ecjk","cfkk","hejk","efkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","dcjk","ifkk","ecjk","cckj","eckj","fckj","ffjk","eekk","efkk",NA,NA,NA,NA,NA,NA,NA
"gckk","icjk","cckk","efjk","dgkj","hcjk","cfkj","cfjk","ffjk","hfjk","bfkk","eekk","efkk",NA,NA,NA,NA
"gckk","bfjk","gfkj","ifkk","gfjk","hfkj","fekj","dekk","dejk","cgjk","egkj","efkk",NA,NA,NA,NA,NA
"gckk","cgjk","cekk","hekk","ifkj","dfjk","egkj","bckj","efkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","igjk","gckj","dgjk","egkk","bekk","gfkk","fekk","dekk","efkk",NA,NA,NA,NA,NA,NA,NA
"gckk","jckk","gfjk","gfkj","cekk","dekk","dfjk","hgkj","efkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cckk","dfjk","cekk","dfkj","cgkj","fgjk","dgkj","efkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","dcjk","hckj","dfkk","ifkj","hekk","hfkj","iekk","ffkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","fcjk","dgkk","bcjk","fgkj","bfjk","cgkj","ffkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","efjk","hgkk","hfkj","fekj","dekk","iekj","ffkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ifkk","cfkj","efkk","cgkj","hgkj","iekk","ffkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","eckj","cfkj","cfkk","cekk","iekk","ggjk","cckj","hckk","dgkj","ffkk",NA,NA,NA,NA,NA,NA
"gckk","dgkk","bckk","efkk","bfjk","gfkj","bekk","gekk","dekk","dfjk","egkj","ffkk",NA,NA,NA,NA,NA
"gckk","ffkj","bekk","cgjk","cfkj","eckj","gckj","dfjk","hfkj","hekk","ifkj","dcjk","ickk","gfjk","cdkk","gdjk","ffkk"
"gckk","bgjk","eekk","cfkj","ggkk","gejk","bfkj","ffkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","hgjk","ffkj","cejk","cfjk","eejk","dgkj","hcjk","hdkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","fcjk","hfkj","iekk","dfkk","ickk","gdkk","hdkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","igkk","hekk","hfkj","iekk","cgjk","cfkj","eckj","cckj",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","hfjk","hekk","ifkj","hgjk","fgkj","cgjk","ggkj","ffkj","cckj",NA,NA,NA,NA,NA,NA,NA
"gckk","cdkk","ffkj","cejk","cfjk","gfkj","fejk","ggkk","gckj","cckj",NA,NA,NA,NA,NA,NA,NA
"gckk","ffjk","dfkk","bcjk","fgkj","fgjk","egkj","fckj","ifkk","ggjk",NA,NA,NA,NA,NA,NA,NA
"gckk","jckk","gfjk","ifkj","hgjk","hfkk","hekk","ggjk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cdkk","hckk","fgkj","cgjk","cgkj","bgkk","ggjk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","igjk","dgkj","gfkj","hfkk","dfkj","jckj","ggjk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","jfkk","dcjk","ifkk","ecjk","cckj","eckj","egkk","bekk","hfkk",NA,NA,NA,NA,NA,NA,NA
"gckk","ickj","dfkk","egkk","egjk","efkj","bekk","gekk","hfkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","fdkj","dbjj","eckj","icjk","hgkk","ifkj","hfkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gdkk","hdkk","hckj","dfkk","ffjk","eekk","hfkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","jfkk","hfjk","hekk","hfkj","dgjk","fgkj","bfjk","cgkj","hfkk",NA,NA,NA,NA,NA,NA,NA
"gckk","gcjk","ickj","cckj","dckk","cfjk","ffjk","gekk","hfkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","hckk","fgkj","efkj","bejk","gekk","hgkj","hfkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ecjk","gckj","dfkk","gfjk","gekk","hfkj","hfjk","hfkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gfjk","ifkj","hekk","bekk","cgjk","egkj","cfjk","efkk","cgkj","hgkj","fekj","dekk","egkk",NA,NA,NA
"gckk","jfkk","dcjk","ifkk","igkj","fgkj","ggkj","fekk","egkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","jckk","gfjk","cfkj","cekk","hfkj","fekk","bekk","egkk",NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gdkk","hdjk","hckj","dgkk","dfkk","ifkj","gfkj","bekk","gekk","bfkj","egkk",NA,NA,NA,NA,NA
"gckk","bgkk","gfkj","fekk","dekk","dfjk","bckk","egkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","gdkj","gckj","gcjk","fcjk","hgkk","gejk","egkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ggjk","bfkk","fekk","cfkj","efkk","ifkk","dfjk","egkj","egkk",NA,NA,NA,NA,NA,NA,NA
