"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
"gckk","cgkk","cckj","gekk","ecjk","eejk","cfjk","dckj","cekk","ifkj","igjk","edkk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","dgkk","ggkj","hdkj","hgkk","hdjk","hdkk","hckj","ddkj","edkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","hekk","ifkk","dcjk","bekk","efjk","fgjk","dckj","edkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cdjk","egkk","dcjk","eckj","cfjk","hgkk","hfjk","edkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","bejk","cfkj","cgkk","cgjk","dckj","ddjk","hdkk","gfkj","edkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ddkj","dfjk","ickj","dcjk","eckj","eejk","cgkk","cgjk","cgkj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ffjk","fdkk","edkj","efkj","bckj","gfkj","bckk","bekk","hekj","igkk","idkj","ecjk","cgkj",NA,NA,NA,NA,NA,NA,NA
"gckk","efkk","bfkk","cfkj","cckk","gejk","hgkj","hdkj","fgkj","fdkj","edkk","cgkj",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","iekk","hgkk","hdjk","ickj","dfkk","cckj","idkj","hcjk","fdkk","cgjk","cgkj",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ddkk","bdkj","eejj","fgkj","fgkk","fckj","ecjk","bfjk","cgkj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","fcjk","bckk","cfkj","dfkk","hckk","fdkj","fgkk","cgkj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ickj","hfkk","hdjk","hekk","dgjk","ffkk","cgjk","cgkj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","hckj","ddkj","dfkk","dckj","bekk","ggkk","ggjk","cgkj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","ddjk","dcjk","idkk","iekk","ifkk","fckj","dckj","gekj","cgkj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","cdkj","cckj","idkj","hcjk","cfkj","dfkk","ggkk","cekj","dgkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gckk","dcjk","eckj","cfjk","gfjk","ggkj","ffkk","fgkj","dgkk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
